stage_id,stage_name,animal_id,species_id,species_density_per_100m2,life_stage_fraction,density_sd,sample_size,presence_status,source_id,confidence,fraction_basis
ripening,Ripening Stage,brown_planthopper_eggs,brown_planthopper,40,0.208696,,96,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,brown_planthopper_nymph,brown_planthopper,40,0.417391,,192,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,brown_planthopper_adult,brown_planthopper,40,0.373913,,172,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,leaf_folder_eggs,leaf_folder,1,0.142857,,8,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,leaf_folder_larva,leaf_folder,1,0.428571,,24,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,leaf_folder_adult,leaf_folder,1,0.428571,,24,observed,legacy_animal_data_v1,low,unique_spawn_point_share
ripening,Ripening Stage,yellow_stem_borer_eggs,yellow_stem_borer,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,yellow_stem_borer_adult,yellow_stem_borer,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,golden_apple_snail_eggs,golden_apple_snail,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,golden_apple_snail_adult,golden_apple_snail,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,native_snail_adult,native_snail,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,river_snail_adult,river_snail,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,rat,rat,5,1.000000,,20,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,bird,bird,8,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,ladybug,ladybug,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,dragonfly,dragonfly,7,1.000000,,28,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,duck,duck,1,1.000000,,4,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,fish,fish,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,frog,frog,5,1.000000,,4,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,weaver_ant,weaver_ant,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,lynx_spider,lynx_spider,12,1.000000,,24,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,wasp,wasp,10,1.000000,,32,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,trichogramma,trichogramma,8,1.000000,,32,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,worm,worm,7,1.000000,,12,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,bee,bee,2,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,butterfly,butterfly,2,1.000000,,8,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,cricket,cricket,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
ripening,Ripening Stage,snake,snake,2,1.000000,,1,observed,legacy_animal_data_v1,low,single_life_stage
ripening,Ripening Stage,yellow_stem_borer_larva,yellow_stem_borer,0,0,,0,not_sampled,legacy_animal_data_v1,unknown,not_available
